tour,event_name,course_name,event_id,date_start,date_end,last_updated,current_round,tz_offset,dg_id,player_num,player_name,am,pre_tourn_pageviews,country,dg_rank,owgr_rank,tour_rank,r1_course_code,r1_course_name,r1_course_num,r1_round_num,r1_start_hole,r1_teetime,r1_wave,r2_course_code,r2_course_name,r2_course_num,r2_round_num,r2_start_hole,r2_teetime,r2_wave,r3_course_code,r3_course_name,r3_course_num,r3_round_num,r3_start_hole,r3_teetime,r3_wave,r4_course_code,r4_course_name,r4_course_num,r4_round_num,r4_start_hole,r4_teetime,r4_wave
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,21407,49855,"Reitan, Kristoffer",0,0,NOR,70.0,40.0,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,19872,47995,"Riley, Davis",0,0,USA,274.0,101.0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,16283,36699,"Rodgers, Patrick",0,0,USA,75.0,88.0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,18424,39335,"Roy, Kevin",0,0,USA,106.0,134.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,16591,37076,"Rozo, Marcelo",0,0,COL,402.0,467.0,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,16715,37275,"Ryder, Sam",0,0,USA,162.0,210.0,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,14792,34371,"Saddier, Adrien",0,0,FRA,164.0,84.0,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,27183,56781,"Salinda, Isaiah",0,0,USA,241.0,227.0,T113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,30814,64442,"Sargent, Gordon",0,0,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,19477,47347,"Schenk, Adam",0,0,USA,396.0,136.0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
